transaction_id,deterministic_invoice,deterministic_score,deterministic_status,expected_invoice,ai_decision,ai_invoice,ai_confidence,ai_risk,verification_decision,deterministic_correct
B0362,INV0362,100.0,MATCHED,INV0362,,,,,,True
B0074,INV0074,100.0,MATCHED,INV0074,,,,,,True
B0375,INV0375,100.0,MATCHED,INV0375,,,,,,True
B0156,INV0156,100.0,MATCHED,INV0156,,,,,,True
B0105,INV0105,100.0,MATCHED,INV0105,,,,,,True
B0395,INV0395,100.0,MATCHED,INV0395,,,,,,True
B0378,INV0378,100.0,MATCHED,INV0378,,,,,,True
B0125,INV0125,100.0,MATCHED,INV0125,,,,,,True
B0069,INV0069,100.0,MATCHED,INV0069,,,,,,True
B0451,INV0451,100.0,MATCHED,INV0451,,,,,,True
B0010,INV0010,100.0,MATCHED,INV0010,,,,,,True
B0195,INV0195,100.0,MATCHED,INV0195,,,,,,True
B0407,INV0407,100.0,MATCHED,INV0407,,,,,,True
B0085,INV0085,100.0,MATCHED,INV0085,,,,,,True
B0372,INV0372,100.0,MATCHED,INV0372,,,,,,True
B0389,INV0389,100.0,MATCHED,INV0389,,,,,,True
B0496,INV0496,100.0,MATCHED,INV0496,,,,,,True
B0031,INV0031,100.0,MATCHED,INV0031,,,,,,True
B0317,INV0317,100.0,MATCHED,INV0317,,,,,,True
B0409,INV0409,100.0,MATCHED,INV0409,,,,,,True
B0491,,47.69230769230769,EXCEPTION,INV0491,REVIEW,,0.0,LOW,REVIEW,False
B0492,INV0492,100.0,MATCHED,INV0492,,,,,,True
B0281,INV0281,100.0,MATCHED,INV0281,,,,,,True
B0357,INV0357,100.0,MATCHED,INV0357,,,,,,True
B0077,INV0077,100.0,MATCHED,INV0077,,,,,,True
B0462,INV0462,100.0,MATCHED,INV0462,,,,,,True
B0498,INV0498,100.0,MATCHED,INV0498,,,,,,True
B0212,INV0212,100.0,MATCHED,INV0212,,,,,,True
B0102,INV0102,100.0,MATCHED,INV0102,,,,,,True
B0335,INV0335,100.0,MATCHED,INV0335,,,,,,True
