transaction_id,date,amount,description,counterparty
B0362,2026-07-30,9500.0,NETFLIX,NETFLIX
B0074,2026-01-19,500.0,GOOGLE CLOUD,GOOGLE CLOUD
B0375,2026-08-12,2500.0,RAZORPAY,RAZORPAY
B0156,2026-08-10,9500.0,RAZORPAY,RAZORPAY
B0105,2026-08-06,1200.0,NETFLIX,NETFLIX
B0395,2026-05-08,8900.0,AMAZON,AMAZON
B0378,2026-08-11,22000.0,FLIPKART,FLIPKART
B0125,2026-08-27,11000.0,NETFLIX,NETFLIX
B0069,2026-08-19,35000.0,RAZORPAY,RAZORPAY
B0451,2026-02-01,7200.0,SWIGGY,SWIGGY
B0010,2026-07-14,500.0,SWIGGY,SWIGGY
B0195,2026-08-23,8900.0,NETFLIX,NETFLIX
B0407,2026-01-06,11000.0,SWIGGY,SWIGGY
B0085,2026-07-24,12500.0,AMAZON,AMAZON
B0372,2026-04-09,18000.0,UBER,UBER
B0389,2026-01-12,500.0,SWIGGY,SWIGGY
B0496,2026-02-24,75000.0,ZOHO,ZOHO
B0031,2026-02-28,750.0,RAZORPAY,RAZORPAY
B0317,2026-06-02,11000.0,FLIPKART,FLIPKART
B0409,2026-08-22,750.0,ZOHO,ZOHO
B0491,2026-05-24,100000.0,AWS INDIA,AWS INDIA
B0492,2026-04-16,2500.0,RAZORPAY,RAZORPAY
B0281,2026-02-25,7200.0,FLIPKART,FLIPKART
B0357,2026-02-07,100000.0,UBER,UBER
B0077,2026-03-13,8900.0,NETFLIX,NETFLIX
B0462,2026-05-31,8900.0,RAZORPAY,RAZORPAY
B0498,2026-08-05,15000.0,META ADS,META ADS
B0212,2026-08-02,7200.0,AWS INDIA,AWS INDIA
B0102,2026-01-13,750.0,RAZORPAY,RAZORPAY
B0335,2026-06-19,11000.0,UBER,UBER
B0476,2026-02-02,1200.0,FLIPKART,FLIPKART
B0337,2026-03-22,1200.0,UBER,UBER
B0441,2026-06-21,15000.0,UBER,UBER
