invoice_id,date,amount,vendor,reference
INV0477,2026-07-02,100000.0,Swiggy Pvt Ltd,B0477
INV0091,2026-01-13,2500.0,Netflix Entertainment Services,B0091
INV0457,2026-03-26,8900.0,Google Cloud India,B0457
INV0499,2026-01-31,15000.0,Netflix Entertainment Services,B0499
INV0451,2026-02-01,7200.0,Swiggy Pvt Ltd,B0451
INV0330,2026-06-14,22000.0,Zoho Corporation Pvt Ltd,B0330
INV0033,2026-02-24,1200.0,Swiggy Pvt Ltd,B0033
INV0234,2026-03-05,500.0,Amazon Web Services India Pvt Ltd,B0234
INV0342_DUP,2026-06-09,15000.0,Netflix Entertainment Services,B0342
INV0245,2026-06-28,2500.0,Google Cloud India,B0245
INV0010,2026-07-14,500.0,Swiggy Pvt Ltd,B0010
INV0132,2026-01-24,750.0,Swiggy Pvt Ltd,B0132
INV0445,2026-01-09,9500.0,Amazon Seller Services,B0445
INV0216,2026-03-18,15000.0,Amazon Web Services India Pvt Ltd,B0216
INV0381,2026-08-07,1200.0,Amazon Seller Services,B0381
INV0075,2026-01-18,8900.0,Amazon Web Services India Pvt Ltd,B0075
INV0453,2026-01-13,500.0,Google Cloud India,B0453
INV0454,2026-02-02,8900.0,Razorpay Software Pvt Ltd,B0454
INV0385,2026-06-11,8900.0,Meta Platforms India,B0385
INV0223,2026-01-07,100000.0,Flipkart Internet Pvt Ltd,B0223
INV0084,2026-01-16,2500.0,Amazon Web Services India Pvt Ltd,B0084
INV0193,2026-02-17,8900.0,Amazon Seller Services,B0193
INV0447,2026-08-07,8900.0,Uber India Systems Pvt Ltd,B0447
INV0060,2026-01-15,8900.0,Swiggy Pvt Ltd,B0060
INV0081,2026-06-20,2500.0,Meta Platforms India,B0081
INV0083,2026-08-10,35000.0,Amazon Seller Services,B0083
INV0163,2026-03-30,22000.0,Zoho Corporation Pvt Ltd,B0163
INV0282,2026-07-05,9500.0,Uber India Systems Pvt Ltd,B0282
INV0288,2026-01-15,750.0,Swiggy Pvt Ltd,B0288
INV0402,2026-06-26,22000.0,Swiggy Pvt Ltd,B0402
INV0108,2026-05-29,8900.0,Meta Platforms India,B0108
INV0134,2026-07-17,12500.0,Amazon Web Services India Pvt Ltd,B0134
INV0333,2026-08-08,2500.0,Razorpay Software Pvt Ltd,B0333
INV0341,2026-02-18,750.0,Amazon Seller Services,B0341
INV0036,2026-03-11,5000.0,Uber India Systems Pvt Ltd,B0036
INV0078,2026-05-19,7200.0,Uber India Systems Pvt Ltd,B0078
INV0001,2026-07-09,500.0,Meta Platforms India,B0001
INV0012,2026-02-25,5000.0,Swiggy Pvt Ltd,B0012
INV0243,2026-04-12,18000.0,Swiggy Pvt Ltd,B0243
INV0205,2026-03-02,11000.0,Meta Platforms India,B0205
INV0425,2026-07-14,5000.0,Meta Platforms India,B0425
INV0414,2026-08-20,2500.0,Flipkart Internet Pvt Ltd,B0414
INV0430,2026-05-30,9500.0,Razorpay Software Pvt Ltd,B0430
INV0162,2026-01-28,750.0,Swiggy Pvt Ltd,B0162
INV0073,2026-06-02,8900.0,Netflix Entertainment Services,B0073
INV0207,2026-02-05,1200.0,Netflix Entertainment Services,B0207
INV0019,2026-05-28,15000.0,Zoho Corporation Pvt Ltd,B0019
INV0466,2026-04-25,50000.0,Meta Platforms India,B0466
INV0350_DUP,2026-04-15,100000.0,Amazon Web Services India Pvt Ltd,B0350
INV0028_DUP,2026-04-29,6500.0,Google Cloud India,B0028
INV0450,2026-04-12,750.0,Razorpay Software Pvt Ltd,B0450
INV0042,2026-07-13,1200.0,Uber India Systems Pvt Ltd,B0042
INV0183,2026-03-14,1200.0,Flipkart Internet Pvt Ltd,B0183
INV0322,2026-01-21,35000.0,Uber India Systems Pvt Ltd,B0322
INV0164,2026-06-05,22000.0,Razorpay Software Pvt Ltd,B0164
