transaction_id,date,counterparty,amount,currency,description,bank_utr,settlement_reference,bank_reference
RZP-DEMO-001,2026-08-01,Razorpay,98410,INR,Razorpay settlement UTR UTRDEMO0001ABC,UTRDEMO0001ABC,UTRDEMO0001ABC,UTRDEMO0001ABC
RZP-DEMO-002,2026-08-02,Razorpay,51250,INR,Razorpay settlement UTR UTRDEMO0002ABC,UTRDEMO0002ABC,UTRDEMO0002ABC,UTRDEMO0002ABC
RZP-DEMO-003,2026-08-03,Razorpay,127800,INR,Razorpay settlement UTR UTRDEMO0003ABC,UTRDEMO0003ABC,UTRDEMO0003ABC,UTRDEMO0003ABC
RZP-DEMO-004,2026-08-04,Razorpay,76425,INR,Razorpay settlement UTR UTRDEMO0004ABC,UTRDEMO0004ABC,UTRDEMO0004ABC,UTRDEMO0004ABC
RZP-DEMO-005,2026-08-05,Razorpay,21340,INR,Razorpay settlement UTR UTRDEMO0005ABC,UTRDEMO0005ABC,UTRDEMO0005ABC,UTRDEMO0005ABC
RZP-DEMO-006,2026-08-06,Razorpay,149990,INR,Razorpay settlement UTR UTRDEMO0006ABC,UTRDEMO0006ABC,UTRDEMO0006ABC,UTRDEMO0006ABC
RZP-DEMO-007,2026-08-07,Razorpay,67280,INR,Razorpay settlement UTR UTRDEMO0007ABC,UTRDEMO0007ABC,UTRDEMO0007ABC,UTRDEMO0007ABC
RZP-DEMO-008,2026-08-08,Razorpay,88450,INR,Razorpay settlement UTR UTRDEMO0008ABC,UTRDEMO0008ABC,UTRDEMO0008ABC,UTRDEMO0008ABC
RZP-DEMO-009,2026-08-09,Razorpay,43100,INR,Razorpay settlement UTR UTRDEMO0009ABC,UTRDEMO0009ABC,UTRDEMO0009ABC,UTRDEMO0009ABC
RZP-DEMO-010,2026-08-10,Razorpay,119750,INR,Razorpay settlement UTR UTRDEMO0010ABC,UTRDEMO0010ABC,UTRDEMO0010ABC,UTRDEMO0010ABC
RZP-DEMO-011,2026-08-11,Razorpay,56340,INR,Razorpay settlement UTR UTRDEMO0011ABC,UTRDEMO0011ABC,UTRDEMO0011ABC,UTRDEMO0011ABC
RZP-DEMO-012,2026-08-12,Razorpay,93210,INR,Razorpay settlement UTR UTRDEMO0012ABC,UTRDEMO0012ABC,UTRDEMO0012ABC,UTRDEMO0012ABC
RZP-DEMO-013,2026-08-13,Razorpay,35820,INR,Razorpay settlement UTR UTRDEMO0013ABC,UTRDEMO0013ABC,UTRDEMO0013ABC,UTRDEMO0013ABC
RZP-DEMO-014,2026-08-14,Razorpay,176400,INR,Razorpay settlement UTR UTRDEMO0014ABC,UTRDEMO0014ABC,UTRDEMO0014ABC,UTRDEMO0014ABC
RZP-DEMO-015,2026-08-15,Razorpay,69120,INR,Razorpay settlement UTR UTRDEMO0015ABC,UTRDEMO0015ABC,UTRDEMO0015ABC,UTRDEMO0015ABC
RZP-DEMO-016,2026-08-16,Razorpay,98200,INR,Razorpay settlement / UTR: utr-demo-0016-xyz,utr-demo-0016-xyz,utr-demo-0016-xyz,utr-demo-0016-xyz
RZP-DEMO-017,2026-08-17,Razorpay,74850,INR,RAZORPAY SETTL CR/UTR UTR17M ESH 998,UTR17M ESH 998,UTR17M ESH 998,UTR17M ESH 998
RZP-DEMO-018,2026-08-18,Razorpay,98500,INR,Razorpay settlement UTRDEMO0018DATE,UTRDEMO0018DATE,UTRDEMO0018DATE,UTRDEMO0018DATE
RZP-DEMO-019,2026-08-19,Razorpay,97500,INR,Razorpay settlement UTRDEMO0019AMT,UTRDEMO0019AMT,UTRDEMO0019AMT,UTRDEMO0019AMT
RZP-DEMO-020,2026-08-20,Razorpay,45200,INR,Razorpay settlement UTR UTRDEMO0020MISS,UTRDEMO0020MISS,UTRDEMO0020MISS,UTRDEMO0020MISS
RZP-DEMO-021,2026-08-21,Razorpay,60300,INR,Razorpay settlement UTR UTRDEMO0021DUP,UTRDEMO0021DUP,UTRDEMO0021DUP,UTRDEMO0021DUP
RZP-DEMO-022,2026-08-22,Razorpay,81500,INR,RAZORPAY SETTLEMENT CREDIT,,,
RZP-DEMO-023,2026-08-23,Razorpay,99100,INR,Razorpay settlement UTR UTRDEMO0023FEE,UTRDEMO0023FEE,UTRDEMO0023FEE,UTRDEMO0023FEE
RZP-DEMO-024,2026-08-24,Razorpay,99050,INR,Razorpay settlement UTR UTRDEMO0024TAX,UTRDEMO0024TAX,UTRDEMO0024TAX,UTRDEMO0024TAX
RZP-DEMO-025,2026-08-25,Razorpay,98500,INR,Razorpay settlement UTR UTRDEMO0025REF,UTRDEMO0025REF,UTRDEMO0025REF,UTRDEMO0025REF
RZP-DEMO-026,2026-08-26,Razorpay,98750,INR,Razorpay settlement UTR UTRDEMO0026ADJ,UTRDEMO0026ADJ,UTRDEMO0026ADJ,UTRDEMO0026ADJ
RZP-DEMO-027,2026-08-27,Razorpay,54500,INR,RAZORPAY SETTLEMENT CREDIT,,,
RZP-DEMO-028,2026-08-28,Razorpay,72300,INR,Razorpay settlement UTR UTRDEMO0028OK,UTRDEMO0028OK,UTRDEMO0028OK,UTRDEMO0028OK
RZP-DEMO-029,2026-08-29,Razorpay,88000,INR,Razorpay settlement UTR UTRDEMO0029CONFLICT,UTRDEMO0029CONFLICT,UTRDEMO0029CONFLICT,UTRDEMO0029CONFLICT
RZP-DEMO-030,2026-08-30,Razorpay,114900,INR,Razorpay settlement UTR UTRDEMO0030OK,UTRDEMO0030OK,UTRDEMO0030OK,UTRDEMO0030OK
