invoice_id,reference,date,vendor,amount,currency,settlement_id,settlement_utr,settlement_reference,settlement_amount,settlement_date,gross_amount,refund_amount,fee_amount,tax_amount,adjustment_amount,calculated_settlement
setl_demo_001,UTRDEMO0001ABC,2026-08-01,Razorpay Software Pvt Ltd,100000,INR,setl_demo_001,UTRDEMO0001ABC,UTRDEMO0001ABC,100000,2026-08-01,101590,500,900,190,0,100000
setl_demo_002,UTRDEMO0002ABC,2026-08-02,Razorpay Software Pvt Ltd,52000,INR,setl_demo_002,UTRDEMO0002ABC,UTRDEMO0002ABC,52000,2026-08-02,52750,0,600,150,0,52000
setl_demo_003,UTRDEMO0003ABC,2026-08-03,Razorpay Software Pvt Ltd,130000,INR,setl_demo_003,UTRDEMO0003ABC,UTRDEMO0003ABC,130000,2026-08-03,132200,1000,1000,200,0,130000
setl_demo_004,UTRDEMO0004ABC,2026-08-04,Razorpay Software Pvt Ltd,78000,INR,setl_demo_004,UTRDEMO0004ABC,UTRDEMO0004ABC,78000,2026-08-04,79575,500,900,175,0,78000
setl_demo_005,UTRDEMO0005ABC,2026-08-05,Razorpay Software Pvt Ltd,22000,INR,setl_demo_005,UTRDEMO0005ABC,UTRDEMO0005ABC,22000,2026-08-05,22660,0,550,110,0,22000
setl_demo_006,UTRDEMO0006ABC,2026-08-06,Razorpay Software Pvt Ltd,150000,INR,setl_demo_006,UTRDEMO0006ABC,UTRDEMO0006ABC,150000,2026-08-06,150010,0,10,0,0,150000
setl_demo_007,UTRDEMO0007ABC,2026-08-07,Razorpay Software Pvt Ltd,68000,INR,setl_demo_007,UTRDEMO0007ABC,UTRDEMO0007ABC,68000,2026-08-07,68720,0,600,120,0,68000
setl_demo_008,UTRDEMO0008ABC,2026-08-08,Razorpay Software Pvt Ltd,90000,INR,setl_demo_008,UTRDEMO0008ABC,UTRDEMO0008ABC,90000,2026-08-08,91540,250,1100,200,10,90000
setl_demo_009,UTRDEMO0009ABC,2026-08-09,Razorpay Software Pvt Ltd,45000,INR,setl_demo_009,UTRDEMO0009ABC,UTRDEMO0009ABC,45000,2026-08-09,46900,500,1100,300,0,45000
setl_demo_010,UTRDEMO0010ABC,2026-08-10,Razorpay Software Pvt Ltd,120000,INR,setl_demo_010,UTRDEMO0010ABC,UTRDEMO0010ABC,120000,2026-08-10,120250,0,200,50,0,120000
setl_demo_011,UTRDEMO0011ABC,2026-08-11,Razorpay Software Pvt Ltd,57000,INR,setl_demo_011,UTRDEMO0011ABC,UTRDEMO0011ABC,57000,2026-08-11,57660,0,550,110,0,57000
setl_demo_012,UTRDEMO0012ABC,2026-08-12,Razorpay Software Pvt Ltd,95000,INR,setl_demo_012,UTRDEMO0012ABC,UTRDEMO0012ABC,95000,2026-08-12,96790,500,1100,190,0,95000
setl_demo_013,UTRDEMO0013ABC,2026-08-13,Razorpay Software Pvt Ltd,36000,INR,setl_demo_013,UTRDEMO0013ABC,UTRDEMO0013ABC,36000,2026-08-13,36180,0,150,30,0,36000
setl_demo_014,UTRDEMO0014ABC,2026-08-14,Razorpay Software Pvt Ltd,180000,INR,setl_demo_014,UTRDEMO0014ABC,UTRDEMO0014ABC,180000,2026-08-14,183600,1000,2200,400,0,180000
setl_demo_015,UTRDEMO0015ABC,2026-08-15,Razorpay Software Pvt Ltd,70000,INR,setl_demo_015,UTRDEMO0015ABC,UTRDEMO0015ABC,70000,2026-08-15,70880,0,700,180,0,70000
setl_demo_016,UTRDEMO0016XYZ,2026-08-16,Razorpay Software Pvt Ltd,100000,INR,setl_demo_016,UTRDEMO0016XYZ,UTRDEMO0016XYZ,100000,2026-08-16,100000,400,1100,300,0,98200
setl_demo_017,UTR17MESH998,2026-08-17,Razorpay Software Pvt Ltd,76000,INR,setl_demo_017,UTR17MESH998,UTR17MESH998,76000,2026-08-17,76000,0,900,250,0,74850
setl_demo_018,UTRDEMO0018DATE,2026-08-20,Razorpay Software Pvt Ltd,98500,INR,setl_demo_018,UTRDEMO0018DATE,UTRDEMO0018DATE,98500,2026-08-20,100000,500,800,200,0,98500
setl_demo_019,UTRDEMO0019AMT,2026-08-19,Razorpay Software Pvt Ltd,98410,INR,setl_demo_019,UTRDEMO0019AMT,UTRDEMO0019AMT,98410,2026-08-19,100000,500,900,190,0,98410
setl_demo_021a,UTRDEMO0021DUP,2026-08-21,Razorpay Software Pvt Ltd,60300,INR,setl_demo_021a,UTRDEMO0021DUP,UTRDEMO0021DUP,60300,2026-08-21,62000,500,1000,200,0,60300
setl_demo_021b,UTRDEMO0021DUP,2026-08-21,Razorpay Software Pvt Ltd,60300,INR,setl_demo_021b,UTRDEMO0021DUP,UTRDEMO0021DUP,60300,2026-08-21,62000,500,1000,200,0,60300
setl_demo_022a,ALT022A,2026-08-22,Razorpay Software Pvt Ltd,81500,INR,setl_demo_022a,ALT022A,ALT022A,81500,2026-08-22,82000,0,400,100,0,81500
setl_demo_022b,ALT022B,2026-08-22,Razorpay Software Pvt Ltd,81500,INR,setl_demo_022b,ALT022B,ALT022B,81500,2026-08-22,82000,0,350,150,0,81500
setl_demo_023,UTRDEMO0023FEE,2026-08-23,Razorpay Software Pvt Ltd,100000,INR,setl_demo_023,UTRDEMO0023FEE,UTRDEMO0023FEE,100000,2026-08-23,100000,0,700,200,0,99100
setl_demo_024,UTRDEMO0024TAX,2026-08-24,Razorpay Software Pvt Ltd,100000,INR,setl_demo_024,UTRDEMO0024TAX,UTRDEMO0024TAX,100000,2026-08-24,100000,0,750,200,0,99050
setl_demo_025,UTRDEMO0025REF,2026-08-25,Razorpay Software Pvt Ltd,100000,INR,setl_demo_025,UTRDEMO0025REF,UTRDEMO0025REF,100000,2026-08-25,100000,500,800,200,0,98500
setl_demo_026,UTRDEMO0026ADJ,2026-08-26,Razorpay Software Pvt Ltd,100000,INR,setl_demo_026,UTRDEMO0026ADJ,UTRDEMO0026ADJ,100000,2026-08-26,100000,0,900,200,0,98900
setl_demo_027,NO_MATCH_027,2026-08-27,Razorpay Software Pvt Ltd,54500,INR,setl_demo_027,NO_MATCH_027,NO_MATCH_027,54500,2026-08-27,55000,0,400,100,0,54500
setl_demo_028,UTRDEMO0028OK,2026-08-28,Razorpay Software Pvt Ltd,73000,INR,setl_demo_028,UTRDEMO0028OK,UTRDEMO0028OK,73000,2026-08-28,73000,0,600,100,0,72300
setl_demo_029,UTRDEMO0029CONFLICT,2026-08-29,Razorpay Software Pvt Ltd,99000,INR,setl_demo_029,UTRDEMO0029CONFLICT,UTRDEMO0029CONFLICT,99000,2026-08-29,100000,0,800,200,0,99000
setl_demo_030,UTRDEMO0030OK,2026-08-30,Razorpay Software Pvt Ltd,115000,INR,setl_demo_030,UTRDEMO0030OK,UTRDEMO0030OK,115000,2026-08-30,115000,0,80,20,0,114900
