transaction_id,expected_settlement_id,expected_settlement_utr,expected_status,expected_exception_type
RZP-DEMO-001,setl_demo_001,UTRDEMO0001ABC,VERIFIED,
RZP-DEMO-002,setl_demo_002,UTRDEMO0002ABC,VERIFIED,
RZP-DEMO-003,setl_demo_003,UTRDEMO0003ABC,VERIFIED,
RZP-DEMO-004,setl_demo_004,UTRDEMO0004ABC,VERIFIED,
RZP-DEMO-005,setl_demo_005,UTRDEMO0005ABC,VERIFIED,
RZP-DEMO-006,setl_demo_006,UTRDEMO0006ABC,VERIFIED,
RZP-DEMO-007,setl_demo_007,UTRDEMO0007ABC,VERIFIED,
RZP-DEMO-008,setl_demo_008,UTRDEMO0008ABC,VERIFIED,
RZP-DEMO-009,setl_demo_009,UTRDEMO0009ABC,VERIFIED,
RZP-DEMO-010,setl_demo_010,UTRDEMO0010ABC,VERIFIED,
RZP-DEMO-011,setl_demo_011,UTRDEMO0011ABC,VERIFIED,
RZP-DEMO-012,setl_demo_012,UTRDEMO0012ABC,VERIFIED,
RZP-DEMO-013,setl_demo_013,UTRDEMO0013ABC,VERIFIED,
RZP-DEMO-014,setl_demo_014,UTRDEMO0014ABC,VERIFIED,
RZP-DEMO-015,setl_demo_015,UTRDEMO0015ABC,VERIFIED,
RZP-DEMO-016,setl_demo_016,UTRDEMO0016XYZ,VERIFIED,
RZP-DEMO-017,setl_demo_017,UTR17MESH998,VERIFIED,
RZP-DEMO-018,setl_demo_018,,EXCEPTION,DATE_MISMATCH
RZP-DEMO-019,setl_demo_019,,EXCEPTION,AMOUNT_MISMATCH
RZP-DEMO-020,,,EXCEPTION,MISSING_SETTLEMENT
RZP-DEMO-021,setl_demo_021a,,EXCEPTION,DUPLICATE_SETTLEMENT
RZP-DEMO-022,,,EXCEPTION,AMBIGUOUS_SETTLEMENT
RZP-DEMO-023,setl_demo_023,,EXCEPTION,FEE_MISMATCH
RZP-DEMO-024,setl_demo_024,,EXCEPTION,TAX_MISMATCH
RZP-DEMO-025,setl_demo_025,,EXCEPTION,REFUND_MISMATCH
RZP-DEMO-026,setl_demo_026,,EXCEPTION,ADJUSTMENT_MISMATCH
RZP-DEMO-027,setl_demo_027,NO_MATCH_027,REVIEW,LOW_CONFIDENCE
RZP-DEMO-028,setl_demo_028,UTRDEMO0028OK,VERIFIED,
RZP-DEMO-029,setl_demo_029,,EXCEPTION,AMOUNT_MISMATCH
RZP-DEMO-030,setl_demo_030,UTRDEMO0030OK,VERIFIED,
