settlement_id,settlement_utr,settlement_date,settlement_amount,gross_amount,refund_amount,fee_amount,tax_amount,adjustment_amount,status
setl_RZP001,UTR000000001,2026-09-01,98410,100000,500,900,190,0,processed
setl_RZP002,UTR000000002,2026-09-02,52300,55000,0,2300,400,0,processed
setl_RZP003,UTR000000003,2026-09-03,76500,80000,1000,2000,500,0,processed
setl_RZP004,UTR000000004,2026-09-04,41250,43000,0,1400,350,0,processed
setl_RZP005,UTR000000005,2026-09-05,120000,125000,500,3500,1000,0,processed
setl_RZP006,UTR000000006,2026-09-10,61800,65000,0,2500,700,0,processed
setl_RZP007,UTR000000007,2026-09-07,70500,75000,500,3000,1000,0,processed
setl_RZP008,UTR000000008,2026-09-08,45000,47000,0,1500,500,0,processed
setl_RZP008_DUP,UTR000000008,2026-09-08,45000,47000,0,1500,500,0,processed
setl_RZP009A,UTR000000009A,2026-09-09,33000,35000,0,1500,500,0,processed
setl_RZP009B,UTR000000009B,2026-09-09,33000,35000,0,1500,500,0,processed
setl_RZP010,UTR000000010,2026-09-10,58000,60000,0,1500,500,0,processed
setl_RZP011,UTR000000011,2026-09-11,59200,62000,0,2000,800,0,processed
setl_RZP012,UTR000000012,2026-09-12,73500,76000,2500,0,0,0,processed
setl_RZP013,UTR000000013,2026-09-13,49800,50000,0,0,0,-200,processed
setl_RZP014,,2026-09-14,41000,43000,0,1500,500,0,processed
setl_RZP015,UTR000000015,2026-09-15,87200,90000,500,1800,500,0,processed
setl_RZP016,UTR000000016,2026-09-16,34150,35000,0,650,200,0,processed
setl_RZP017,UTR000000017,2026-09-17,101500,105000,1000,2000,500,0,processed
setl_RZP018,UTR000000018,2026-09-18,27600,28000,0,300,100,0,processed
setl_RZP019,UTR000000019,2026-09-19,66400,68000,500,900,200,0,processed
setl_RZP020,UTR000000020,2026-09-20,93500,96000,1000,1200,300,0,processed
setl_RZP021,UTR000000021,2026-09-21,55250,57000,0,1400,350,0,processed
setl_RZP022,UTR000000022,2026-09-22,118800,120000,0,1000,200,0,processed
setl_RZP023,UTR000000023,2026-09-23,38900,40000,500,500,100,0,processed
setl_RZP024,UTR000000024,2026-09-24,71400,73000,0,1300,300,0,processed
setl_RZP025,UTR000000025,2026-09-25,84500,87000,500,1600,400,0,processed
